"","dates","DOY","TIME","D0cm","D2.5cm","D5cm","D10cm","D15cm","D20cm","D30cm","D50cm","D100cm","D200cm"
"6941",2015-10-17 04:00:00,290,240,20.6239976164821,23.0367431500284,25.0341354976698,28.1947490501887,30.3098024073715,30.7374950050625,30.9091524854633,30.5214380086237,27.9616133505127,24.0035616438356
"6942",2015-10-17 05:00:00,290,300,19.988350035787,22.4764353510538,24.5055064539397,27.7881829233683,30.095354909791,30.5934189639582,30.8663812350039,30.5072330873955,27.9598113233414,24.0035616438356
"6943",2015-10-17 06:00:00,290,360,19.6308972806787,21.9705854656391,24.002731277255,27.4055371543959,29.8810306681635,30.4432414179547,30.8147931767763,30.4924158704475,27.9579770543831,24.0035616438356
"6944",2015-10-17 07:00:00,290,420,22.3225820169321,22.5020160377981,23.8451344441672,27.0744458060324,29.6692440932566,30.2888440663787,30.7551695862562,30.4768216092937,27.956108677416,24.0035616438356
"6945",2015-10-17 08:00:00,290,480,28.5402321139144,25.3351898763303,24.8072593758611,26.9861689595522,29.4797254307054,30.134352786637,30.6884172253317,30.4603090135036,27.9542038950353,24.0035616438356
"6946",2015-10-17 09:00:00,290,540,36.7167698169116,30.306738817393,27.4796383481947,27.4465771648827,29.3659433964302,29.9935970723217,30.6161175465788,30.4427669665947,27.9522600474398,24.0035616438356
"6947",2015-10-17 10:00:00,290,600,45.7475397892067,36.1901250289839,31.2741814293174,28.5804051515164,29.3962549268705,29.8941569604653,30.5416411856875,30.4241398943356,27.950274254305,24.0035616438356
"6948",2015-10-17 11:00:00,290,660,44.0592393302549,39.1727783996777,34.9570257573604,30.2558830712486,29.6118755160067,29.8685505045247,30.4708598541841,30.4044743356812,27.9482436164698,24.0035616438356
"6949",2015-10-17 12:00:00,290,720,52.5429291482688,42.8897537745587,37.4515185437684,31.8468544739299,29.9735479257328,29.9365538029258,30.4114951976799,30.3839655732616,27.9461656142727,24.0035616438356
"6950",2015-10-17 13:00:00,290,780,55.9301022282324,47.1972685964166,41.0240984386173,33.5919129373896,30.4354028483483,30.0921528453008,30.3707043444827,30.3629684142734,27.9440385310329,24.0035616438356
"6951",2015-10-17 14:00:00,290,840,55.3587407678953,49.0095917662925,43.5885900092037,35.3906746492992,31.0026587782487,30.3314604882353,30.3540451748419,30.3419625999098,27.9418618957447,24.0035616438356
"6952",2015-10-17 15:00:00,290,900,48.4577911015149,47.5498391003632,44.3033950240447,36.7985074775314,31.6169079751547,30.6447549407788,30.3658991182344,30.3215212226775,27.9396367449515,24.0035616438356
"6953",2015-10-17 16:00:00,290,960,41.5849629718266,43.6553558560525,42.8803993688369,37.3936345576038,32.1725461895167,31.0004263772024,30.4081389326692,30.3022713421857,27.9373658964568,24.0035616438356
"6954",2015-10-17 17:00:00,290,1020,34.5334111571517,38.9418658099317,40.1785965361454,37.1314558859784,32.5706445210304,31.3473979888459,30.478263040728,30.2848179808072,27.9350538957699,24.0035616438356
"6955",2015-10-17 18:00:00,290,1080,29.2555992593374,34.2934335774695,36.8846961214729,36.2055351951327,32.7667638232386,31.6353186929921,30.5689636226967,30.2696416421702,27.9327069067484,24.0035616438356
"6956",2015-10-17 19:00:00,290,1140,27.9560164544777,31.4396578792182,34.0434465682261,34.9401734182325,32.7673380067788,31.8307272169427,30.6697277094532,30.2570123648373,27.9303321345322,24.0035616438356
"6957",2015-10-17 20:00:00,290,1200,26.7841422678525,29.9321129485276,32.142859948862,33.725962216783,32.627946780857,31.9251093796866,30.7694011915908,30.2469521491953,27.9279371792731,24.0035616438356
"6958",2015-10-17 21:00:00,290,1260,26.151481432603,28.7981711159672,30.7991271173371,32.7094148525198,32.4151753180276,31.9332192559239,30.8588473572412,30.2392571293979,27.9255292796772,24.0035616438356
"6959",2015-10-17 22:00:00,290,1320,24.4568107426534,27.5640254324095,29.7045339983128,31.8750029054019,32.1714634984348,31.878609336058,30.9322875612343,30.2335649182859,27.9231148445561,24.0035616438356
"6960",2015-10-17 23:00:00,290,1380,23.0651336201974,26.1995980875924,28.540290740133,31.1209987125359,31.9132592191516,31.7818634335916,30.9870517520792,30.2294319292599,27.9206990519408,24.0035616438356
"6961",2015-10-18,291,0,22.5697083183247,25.2715697611419,27.5248127164072,30.4096261644419,31.6418697236349,31.6555642001062,31.0225019189118,30.2263927601899,27.9182857305816,24.0035616438356
"6962",2015-10-18 01:00:00,291,60,21.7552790834403,24.4508223351901,26.6948954675491,29.7713173588007,31.3636419913866,31.5074717418082,31.039020958922,30.2239937556245,27.9158775364256,24.0035616438356
"6963",2015-10-18 02:00:00,291,120,21.0179748448925,23.7593122214978,25.9962057399877,29.2038868982065,31.0861998223847,31.3441738521253,31.0376709908262,30.2218106630229,27.9134754652626,24.0035616438356
"6964",2015-10-18 03:00:00,291,180,20.1867169570347,23.0096876048223,25.3244853711712,28.689040776933,30.8137123949554,31.1711551393383,31.0199109744309,30.2194601092786,27.9110795484703,24.0035616438356
"6965",2015-10-18 04:00:00,291,240,19.731175129514,22.375653765829,24.6892795130137,28.2042961555173,30.5459301622177,30.9920675318275,30.9874210770411,30.2166054970908,27.9086887574552,24.0035616438356
"6966",2015-10-18 05:00:00,291,300,18.9939165523494,22.0171655925547,24.1394697406608,27.7578433012377,30.2830780861452,30.8089779277938,30.941884559843,30.2129581285762,27.9063011862795,24.0035616438356
