"","dates","DOY","TIME","WC0cm","WC2.5cm","WC5cm","WC10cm","WC15cm","WC20cm","WC30cm","WC50cm","WC100cm","WC200cm"
"1274",2015-02-23 01:00:00,54,60,0.017285633893573,0.090585266624968,0.0917429927850288,0.0921480941415858,0.171605449421428,0.178552277256072,0.186382970339413,0.191201815877974,0.200347659063747,0.4921875
"1275",2015-02-23 02:00:00,54,120,0.0194182493663331,0.0907741157790063,0.0918817164271372,0.0922577705570784,0.171673599713637,0.178523927818098,0.186324056432978,0.191154008364107,0.200346531189986,0.4921875
"1276",2015-02-23 03:00:00,54,180,0.0213868833342823,0.0909783780827432,0.0920349277622984,0.0923824001947621,0.171755550078874,0.178503223690814,0.186267788733155,0.191107894245809,0.200345398927503,0.4921875
"1277",2015-02-23 04:00:00,54,240,0.020068420843586,0.0911723867345511,0.0921791726782353,0.0925016203553586,0.171835334570667,0.178484211201082,0.186212197137859,0.191062156893889,0.200344262385278,0.4921875
"1278",2015-02-23 05:00:00,54,300,0.0202958081090094,0.0913834640138523,0.0923407091154929,0.0926379126226735,0.171930436045409,0.1784734937559,0.186159512337014,0.191018290092017,0.200343121694077,0.4921875
"1279",2015-02-23 06:00:00,54,360,0.0211122766568493,0.0915897148633673,0.0924996516321849,0.0927740701141916,0.17202740507014,0.178466108807626,0.186108099576519,0.190975201815077,0.20034197699259,0.4921875
"1280",2015-02-23 07:00:00,54,420,0.0187043640559967,0.0917396538752908,0.0926083147070263,0.0928685561446347,0.172093559922128,0.178449475816522,0.18605374750919,0.190930074314869,0.200340828208132,0.4921875
"1281",2015-02-23 08:00:00,54,480,0.0150215614044629,0.0918016591079949,0.0926386877136624,0.0928963668463774,0.172108799042453,0.178415278063374,0.185993635546961,0.190881017951701,0.20033967502933,0.4921875
"1282",2015-02-23 09:00:00,54,540,0.013110792786579,0.091686387984375,0.0925105269918646,0.0927869424925735,0.17201703718445,0.178341059412092,0.185920161761406,0.190822940430504,0.200338516770625,0.4921875
"1283",2015-02-23 10:00:00,54,600,0.0122192587363572,0.0913700268970841,0.0922032717065639,0.0925205582937411,0.171801104533653,0.17821832189545,0.185830334157495,0.190753829786742,0.200337352398617,0.4921875
"1284",2015-02-23 11:00:00,54,660,0.0115764529397267,0.0909255536752295,0.0917849112783642,0.0921540799372964,0.171503507018568,0.178061182977413,0.185728724086576,0.190676734661251,0.200336180964288,0.4921875
"1285",2015-02-23 12:00:00,54,720,0.0112514915487143,0.090577627320209,0.0914637065963141,0.0918670053324903,0.171264165278843,0.177921958877577,0.185632788198185,0.190603333474149,0.200335002321009,0.4921875
"1286",2015-02-23 13:00:00,54,780,0.0106920417699005,0.090035398202966,0.0909700902786488,0.0914268703982726,0.170900740202892,0.177731742386066,0.185519407646458,0.19051815080614,0.200333816005738,0.4921875
"1287",2015-02-23 14:00:00,54,840,0.0107580661427682,0.0896917933151419,0.0906663372152221,0.0911461287344258,0.170657966319534,0.177582368499883,0.185419270937467,0.190441721670865,0.200332621979745,0.4921875
"1288",2015-02-23 15:00:00,54,900,0.0113657260903522,0.0895913505893543,0.0905895635436288,0.0910598220216857,0.170566316230621,0.177487875772802,0.185337238590426,0.190377310365767,0.200331421336913,0.4921875
"1289",2015-02-23 16:00:00,54,960,0.0112407082636225,0.0895474322609117,0.0905646538057859,0.0910190057339624,0.170510648392925,0.177406838109296,0.18525957048216,0.190315729125645,0.200330214809018,0.4921875
"1290",2015-02-23 17:00:00,54,1020,0.0117891943784633,0.0895548113335183,0.0905852126758009,0.0910187531641646,0.170487673013857,0.177338651008483,0.185186111874841,0.190256877551306,0.20032900269015,0.4921875
"1291",2015-02-23 18:00:00,54,1080,0.0124109929868391,0.0895685317103759,0.0906064200977465,0.0910206512760838,0.170467457282125,0.177272395145041,0.185113237194976,0.1901983307506,0.200327785135586,0.4921875
"1292",2015-02-23 19:00:00,54,1140,0.0126095111658724,0.08961157198134,0.0906488449444054,0.0910424372486165,0.17046403505037,0.177213492966628,0.185042779908698,0.190141317177053,0.200326562256211,0.4921875
"1293",2015-02-23 20:00:00,54,1200,0.0131184257713373,0.0896870455556307,0.0907162953704133,0.0910875650779101,0.170480340919181,0.177163353267599,0.184975243049182,0.190086175656705,0.20032533423658,0.4921875
"1294",2015-02-23 21:00:00,54,1260,0.0138227405797372,0.0897813510615732,0.0907969031635954,0.0911459205469059,0.170508588563474,0.17711930957193,0.184909764233445,0.190032330907093,0.200324101243958,0.4921875
"1295",2015-02-23 22:00:00,54,1320,0.0158999431679672,0.0898757463978847,0.0908732193994136,0.0912023880277419,0.170536897908899,0.17707697240028,0.184844892238835,0.189978812595083,0.200322863365091,0.4921875
"1296",2015-02-23 23:00:00,54,1380,0.0207741351321172,0.0900481143043402,0.0910173215730935,0.0913192680111391,0.170614438843549,0.177055185122931,0.184786976053745,0.189929874089821,0.200321620874479,0.4921875
"1297",2015-02-24,55,0,0.233897131308264,0.149845037747137,0.0916031843240714,0.0918136520030522,0.170981041886783,0.17709998879858,0.184701231608036,0.189851929634504,0.200319123768321,0.4921875
"1298",2015-02-24 01:00:00,55,60,0.20936943818174,0.170212880477364,0.0922057319630122,0.0922830461664039,0.171344769528706,0.177198990534842,0.184684625110375,0.189830463192078,0.200317871576998,0.4921875
"1299",2015-02-24 02:00:00,55,120,0.195889571809511,0.169004144734641,0.0929797724605116,0.0927755846781639,0.171731240024492,0.177313920776518,0.184673935717007,0.189812917247627,0.200316617968702,0.4921875
"1300",2015-02-24 03:00:00,55,180,0.187083147268806,0.164738794166703,0.0939526420251622,0.0932759294836407,0.172128066207854,0.177440160162905,0.184667670057509,0.189798296001668,0.200315363277415,0.4921875
"1301",2015-02-24 04:00:00,55,240,0.180975978197031,0.160737564202253,0.0950942066578849,0.0937740054557294,0.1725269270311,0.177574423232271,0.184664766658632,0.189785891861913,0.20031410775004,0.4921875
"1302",2015-02-24 05:00:00,55,300,0.173858871930351,0.157325237100288,0.0963296695334695,0.0942533703232144,0.17291455266875,0.177711400795715,0.1846634736923,0.189774534096492,0.200312851540071,0.4921875
"1303",2015-02-24 06:00:00,55,360,0.168475510894866,0.154340406027819,0.0976043044981295,0.0947224758860954,0.173297011256688,0.177852974167037,0.184664437075115,0.189764656872707,0.200311594772945,0.4921875
"1304",2015-02-24 07:00:00,55,420,0.157314203077787,0.151551965917819,0.0988274865893518,0.0951528517045368,0.173651819954776,0.177990229425687,0.184664684342218,0.189754271134039,0.200310337485752,0.4921875
"1305",2015-02-24 08:00:00,55,480,0.144305260283545,0.148736064218016,0.099970047358379,0.0955567548176437,0.17398798942527,0.178125938223386,0.184665138039767,0.189743994785752,0.200309079659783,0.4921875
"1306",2015-02-24 09:00:00,55,540,0.115438493733442,0.14575743767575,0.100943877747111,0.0958856983850934,0.174267679517604,0.178245153078802,0.184660784528883,0.189730470313495,0.200307821121362,0.4921875
"1307",2015-02-24 10:00:00,55,600,0.076368354714366,0.142686350555237,0.101756832538188,0.0961626016917766,0.174508066593738,0.178353349611858,0.184653417194854,0.189714896224828,0.20030656161092,0.4921875
"1308",2015-02-24 11:00:00,55,660,0.0261443108126939,0.139681318516883,0.102394266936179,0.0963817313769711,0.174704363107565,0.178447939269782,0.184642140476536,0.18969667118316,0.200305300890409,0.4921875
